Tc,Wb,Ec,Lb,Tb,Ea,σa,εa,Ab,Ar,Jt,Bt
1.4,10,159.4,130,0.5,1.9,32,4,1300,13,1,1
1.4,30,155.9,130,0.42,1.744,30,4.6,3900,4.33,1,1
1.4,10,159.4,50,0.5,1.9,32,4,500,5,1,1
1.4,50,150,250,0.98,3.2,30,1.32,12500,5,1,0
1.26,10,163.3,60,1,8.432,21.76,0.34,600,6,1,0
1.4,50,164,350,0.5,4.84,41.8,1.08,17500,7,0,0
1.4,50,164,90,1,12.2,27.6,0.29,4500,1.8,0,0
1.4,20,457.8,120,0.5,1.9,32,4,2400,6,1,1
0.2,50,205,100,0.5,2.229,34,1.8,5000,2,1,0
1.4,50,164,350,3.1,12.2,27.6,0.29,17500,7,0,0
0.2,50,205,100,0.5,2.229,34,1.8,5000,2,1,0
0.5,25,230,85,0.7,2.03,24.8,1.22,2125,3.4,1,1
1.4,50,164,110,1,4.84,41.8,1.08,5500,2.2,0,0
1.4,10,159.4,130,0.5,1.9,32,4,1300,13,1,1
2.971,30,165,13.5,2,4.5,30,0.09,405,0.45,0,0
1.44,25,185,220,1,1.5,25.69,6.79,5500,8.8,0,1
1.4,20,203,40,0.5,1.9,32,4,800,2,1,1
1.4,50,165,120,1,1.7,20.5,1.52,6000,2.4,0,1
1.4,10,159.4,30,0.5,1.9,32,4,300,3,1,1
1.2,50,150,380,2.03,1.75,14.73,1.51,19000,7.6,0,1
1.4,10,159.4,60,0.5,1.9,32,4,600,6,1,1
1.4,30,197,150,1.1,4.5,32,0.3,4500,5,1,0
1.4,50,164,80,1,1.7,20.5,1.52,4000,1.6,0,1
2,25,183,60,0.69,1.45,19,2.98,1500,2.4,1,0
2.799,30,165,13.7,2,4.5,30,0.09,411,0.46,0,0
0.2,50,205,80,0.5,2.229,34,1.8,4000,1.6,1,0
1.4,50,164,350,1.86,12.2,27.6,0.29,17500,7,0,0
1.4,50,150,150,0.96,3.2,30,1.32,7500,3,1,0
1.5,25,173,200,0.47,1.74,39.7,6.24,5000,8,0,1
0.5,25,230,80,0.7,2.03,24.8,1.22,2000,3.2,0,1
1.4,10,159.4,130,0.5,1.9,32,4,1300,13,1,1
1.4,50,164,350,1.05,1.75,15.1,1.74,17500,7,0,1
1.2,50,165,350,1.07,4.01,22.53,0.56,17500,7,0,0
1.4,25,205,75,1,1.35,34.9,13.6,1875,3,1,1
1.4,20,159.4,60,0.5,1.9,32,4,1200,3,1,1
1.4,20,203,30,0.5,1.9,32,4,600,1.5,1,1
1.4,10,159.4,90,0.5,1.9,32,4,900,9,1,1
1.4,25,205,75,1,7.6,33.16,0.54,1875,3,1,0
1.26,10,163.3,125,1,8.432,21.76,0.34,1250,12.5,1,0
1.4,25,205,50,1,7.6,33.16,0.54,1250,2,1,0
1.4,10,159.4,50,0.5,1.9,32,4,500,5,1,1
1.4,60,197,120,1,4.5,32,0.3,7200,2,1,0
1.4,50,161.2,180,1.24,11.14,25,0.3,9000,3.6,0,0
1.4,50,164,350,0.54,12.2,27.6,0.29,17500,7,0,0
1.4,50,235,380,1.04,1.75,14.73,1.51,19000,7.6,0,1
0.84,25,640,75,1,1.35,34.9,13.6,1875,3,1,1
1.4,25,205,50,1,1.35,34.9,13.6,1250,2,1,1
1.4,50,165,100,1,1.7,20.5,1.52,5000,2,0,1
1.4,50,165,80,0.8,5.3,38,1.13,4000,1.6,1,1
1.4,20,159.4,70,0.5,1.9,32,4,1400,3.5,1,1
1.4,10,159.4,120,0.5,1.9,32,4,1200,12,1,1
1.4,50,165,80,0.5,5.3,38,1.13,4000,1.6,1,1
1.4,50,340,380,1.02,1.75,14.73,1.51,19000,7.6,0,1
1.4,25,205,75,1,7.6,33.16,0.54,1875,3,1,0
1.4,50,164,350,1.01,12.2,27.6,0.29,17500,7,0,0
1.4,10,159.4,90,0.5,1.9,32,4,900,9,1,1
1.4,50,164,350,1,3.85,38.3,1.51,17500,7,0,0
1.44,25,185,220,1,3.13,50,1.6,5500,8.8,0,0
1.4,50,165,80,0.6,5.3,38,1.13,4000,1.6,1,1
1.4,50,165,350,1,3.85,38.3,1.51,17500,7,0,0
1.2,50,165,350,0.83,10.79,20.48,0.19,17500,7,0,0
1.4,50,165,350,1,1.7,20.5,1.52,17500,7,0,1
1.26,10,163.3,75,1,8.432,21.76,0.34,750,7.5,1,0
1.4,30,197,30,0.65,4.5,32,0.3,900,1,1,0
1.4,30,155.9,90,0.38,1.744,30,4.6,2700,3,1,1
1.4,25,205,75,1,1.24,23.3,18.4,1875,3,1,1
1.4,50,165,350,1,4.84,41.8,1.68,17500,7,0,0
1.4,50,164,350,1,3.85,38.3,1.51,17500,7,0,0
1.2,50,165,350,6.05,10.79,20.48,0.19,17500,7,0,0
1.45,50,478.73,250,0.38,1.9,28.6,2.4,12500,5,1,1
0.2,50,205,90,0.5,2.229,34,1.8,4500,1.8,1,0
2.984,20,165,15.7,2,4.5,30,0.09,314,0.79,0,0
1.8,25,117,30,0.54,4.95,30,0.61,750,1.2,1,1
1.4,50,150,120,1.03,3.2,30,1.32,6000,2.4,1,0
1.2,50,150,300,1.07,11.25,22.34,0.3,15000,6,0,0
1.44,25,185,220,1,1.75,15.1,1.74,5500,8.8,0,1
